Taxon ID	Label	Label Source	IEDB Synonyms	Comment	Base Label	NCBI Label	NCBI Singular	Singular Usage	Familiar	Familiar Source	Familiar Usage	IEDB Preferred													
1	Root	NCBI Taxonomy scientific name			Root	Root																			
81077	Artificial sequence	NCBI Taxonomy scientific name			Artificial sequence	Artificial sequence																			
36549	Plasmid	singular of NCBI Taxonomy scientific name			Plasmid	Plasmids	Plasmid	http://en.wikipedia.org/wiki/Plasmid																	
32644	Unidentified	NCBI Taxonomy scientific name			Unidentified	Unidentified																			
2157	Archeobacterium	IEDB			Archeon	Archaea	Archeon	http://en.wikipedia.org/wiki/Archaeon				Archeobacterium
2	Bacterium	singular of NCBI Taxonomy scientific name			Bacterium	Bacteria	Bacterium	http://en.wikipedia.org/wiki/Bacterium			
201174	Actinobacterium	singular of NCBI Taxonomy scientific name			Actinobacterium	Actinobacteria	Actinobacterium	http://en.wiktionary.org/wiki/actinobacterium																	
1763	Mycobacterium	NCBI Taxonomy scientific name			Mycobacterium	Mycobacterium																			
1773	Mycobacterium tuberculosis	NCBI Taxonomy scientific name	M. tuberculosis,M tuberculosis,MTB,Tb		Mycobacterium tuberculosis	Mycobacterium tuberculosis																			
91061	Bacillus [class]	IEDB			Bacilli	Bacilli					
1386	Bacillus [genus]	IEDB			Bacillus	Bacillus					
976	Bacteroidete	singular of NCBI Taxonomy scientific name			Bacteroidete	Bacteroidetes	Bacteroidete	http://www.ncbi.nlm.nih.gov/pubmed/19966289																	
204428	Chlamydiae	NCBI Taxonomy scientific name			Chlamydiae	Chlamydiae																			
186801	Clostridia	NCBI Taxonomy scientific name			Clostridia	Clostridia						
1117	Cyanobacterium (blue-green alga)	singular of NCBI Taxonomy scientific name (singular of NCBI common name)			Cyanobacterium	Cyanobacteria	Cyanobacterium	http://en.wikipedia.org/wiki/Cyanobacterium	blue-green alga	singular of NCBI common name															
1224	Proteobacterium (purple photosynthetic bacterium)	singular of NCBI Taxonomy scientific name (singular of NCBI common name)			Proteobacterium	Proteobacteria	Proteobacterium	http://en.wikipedia.org/wiki/Proteobacterium	purple photosynthetic bacterium	singular of NCBI common name															
